,제목,가사,가수,발매일,좋아요수,장르
172,미워도 다시 한 번,"이생명 다바쳐서
죽도록 사랑했고
순정을 다 바쳐서
믿고 또 믿었건만
영원히 그 사람을
사랑해선 안 될 사람
말없이 가는 길에
미워도 다시 한번
아 아 안녕
지난날 아픈 가슴
오늘의 슬픔이여
여자의 숙명인가
운명의 장난인가
나만이 가야 하는
그 사랑의 길이기에
울면서 돌아설 때
미워도 다시 한번
아 아 안녕",손태진,2022.12.28,474,성인가요/트로트
173,비에 젖은 터미널,"봄비가 하염없이 내리는
비에 젖은 터미널
인적도 끊어지고
밤바람도 차가운데
기다리는 그 사람은 오지를 않고
어이해서 내 마음을 울려주는가
아 당신은 무정한 사람
내 마음을 울리는 사람
어젯밤도 오늘밤도 기다렸건만
어이해서 내 마음을 몰라주는가
아 당신은 무정한 사람
내 마음을 울리는 사람",안성훈,2022.12.30,305,성인가요/트로트
174,무심세월 (無心歲月),"무심한 세월아 냉정한 세월아
너는 어찌 그리도 빠르니
너 따라 가려니 이젠 힘이 들구나
우리 잠시 쉬었다가자
얄궂은 세월아 변덕쟁이 세월아
나 어릴 땐 그리도 늦더니
숨 가쁜 한 세상 앞만 보고 왔는데
어서 따라 오라는 세월
나는 쉬엄쉬엄 쉬며 갈 테다
허리 한번 쭉 펴고
좋은 사람들과 놀다 갈 테니
제발 나 좀 두고 가거라
함께 온 세월아 오랜 친구 세월아
우리 잠시 헤어졌다가
이다음 천천히 만났으면 좋겠다
너 혼자만 먼저 가거라
나는 쉬엄쉬엄 쉬며 갈 테다
허리 한번 쭉 펴고
좋은 사람들과 놀다 갈 테니
제발 나 좀 두고 가거라
함께 온 세월아 오랜 친구 세월아
우리 잠시 헤어졌다가
이다음 천천히 만났으면 좋겠다
너 혼자만 먼저 가거라
너 혼자만 먼저 가거라",나훈아,2019.05.03,940,성인가요/트로트
175,전복 먹으러 갈래,"전복 먹으러 갈래
서해안 고속도로 타고
완도 앞 바다로
나랑 같이 가볼래
슬쩍 기대도 돼
내 팔을 어깨 위에 두르고
저 구름 따라
지금 떠나볼래
어느새 바닷바람
시원하게 불어오잖아
걱정은 마
오늘은 내가 책임진다
너에게 좋은 것만 주고픈 마음 알까
전복 먹으러 갈래
할 일은
내일로 다 미루고
이 기분 따라 훌쩍 떠나볼래
소주도 한 잔 할래
안주가 끝내주잖아
이거 마시면 우리
사귀는 거다",김용필,2023.02.10,135,성인가요/트로트
176,바람길,"길을 걷는다
끝이 없는 이 길
걷다가 울다가
서러워서 웃는다
스치듯 지나는
바람의 기억보다 더
에일 듯 시리운
텅 빈 내 가슴
울다가 웃다가
꺼내본 사진 속엔
빛 바랜 기억들이
나를 더 아프게 해
길을 걷는다
끝이 없는 이 길
걷다가 울다가
서러워서 웃는다
스치듯 지나는
바람의 기억보다 더
에일 듯 시리운
텅 빈 내 가슴
울다가 웃다가
꺼내본 사진 속엔
빛 바랜 기억들이
나를 더 아프게 해
길을 걷는다
끝이 없는 이 길
걷다가 울다가
서러워서 웃는다",장윤정,2015.04.22,"3,389",성인가요/트로트
177,동전인생,"바람 바람 끝자락 매달려
흘러간 청춘
돈이건만 값어치 약한 동전 같았던
내 과거 그 누가 알까
자존심을 내 목숨보다 더 사랑한
지난 날 아픔 속에는
눈물 방울 삼키며 오늘을 위하여
추억 밟고 나 여기 왔다
다시는 울지 않으리
바람 바람 끝자락 매달려
흘러간 청춘
돈이건만 값어치 약한 동전 같았던
내 설움 그 누가 알까
자존심을 내 목숨보다 더 사랑한
지난 날 아픔 속에는
눈물 방울 삼키며 오늘을 위하여
모진 세월 나 여기 왔다
인생은 지금부터야
눈물방울 삼키며 오늘을 위하여
모진 세월 나 여기 왔다
인생은 지금부터야",진성,2018.04.02,"3,992",성인가요/트로트
178,사내,"사내답게 살다가 사내답게 갈 거다
가자
큰 소리로 울면서 이 세상에 태어나
가진 것은 없어도 비굴하진 않았다
때론 사랑에 빠져 비틀댄 적 있지만
입술 한 번 깨물고 사내답게 웃었다
긴가민가하면서 조마조마하면서
설마설마하면서 부대끼며 살아온
이 세상을 믿었다 나는 나를 믿었다
추억 묻은 친구야 물론 너도 믿었다
벌거벗은 몸으로 이 세상에 태어나
자랑할 건 없어도 부끄럽지도 않아
한때 철없던 시절 방황한 적 있지만
소주 한잔 마시고 사내답게 잊었다
긴가민가하면서 조마조마하면서
설마설마하면서 부대끼며 살아온
이 세상을 믿었다 나는 나를 믿었다
추억 묻은 친구야 물론 너도 믿었다
미련 같은 건 없다 후회 역시도 없다
사내답게 살다가 사내답게 갈 거다
사내답게 갈 거다",민수현,2023.01.11,232,성인가요/트로트
179,오빠 집에 놀러와,"오늘 밤 니 사랑에 취하고 싶다
상큼한 칵테일처럼 톡 쏘는 여자
그녀의 섹시함에 나는 녹을 것 같아
가슴이 두근두근두근대
어쩌지 고민하며 살짝 튕기는 모습
이 오빠는 쓰러진다
너는 나의 여자야
오빠 집에 놀러와 오빠 집에 놀러와
사랑하는 우리 님과 놀고 싶어라
오빠 집에 놀러와 오늘 밤에 놀러와
택시를 타고 총알처럼 달려와
이 오빠 죽겄다
오빠 집에 놀러와 (오빠 집에 놀러와)
오빠 집에 놀러와 (오빠 집에 놀러와)
오빠 집에 놀러와 (오빠 집에 놀러와)
오빠 집에 놀러와 (오빠 집에 놀러와)
오빠 집에 놀러와 오빠 집에 놀러와
사랑하는 우리 님과 놀고 싶어라
오빠 집에 놀러와 오늘 밤에 놀러와
택시를 타고 총알처럼 달려와
이 오빠 죽겄다
오빠 집에 놀러와 오늘 밤에 놀러와
우리 집 비번 자기 생일
들어와
이 오빠 이 오빠
오빠 좀 살려라
이 오빠 죽겄다",최수호,2023.02.17,115,성인가요/트로트
180,날 울린 당신,"어쩜 당신은 그리 착하오
왜이리도 바보같소
다시 태어나도 내곁에 있어주오
난 당신뿐이니까
어쩜 당신은 그리 예쁘오
주름마저 아름답소
두손 잡고서
우리 한날 한시에 같이 눈감읍시다
삶이 고되고 사는게 힘이 들때마다
사랑한단 말로 날 울린 당신
정성스럽게 따듯한 밥을 차려놓고
괜찮다는 말로 날 울린 당신
내게 사랑은 오직 한여자
하늘아래 단 한사람
두손 잡고서
우리 한날 한시에 같이 눈감읍시다
삶이 고되고 사는게 힘이 들때마다
사랑한단 말로 날 울린 당신
정성스럽게 따듯한 밥을 차려놓고
괜찮다는 말로 날 울린 당신
힘든 이 세상에
당신이 내곁에 있어서
살아야 할 의미를 찾은 것 같아
오늘 하루도 나에게 미소를 지으며
수고했단 말로 날 울린 당신",임영웅,2020.12.17,"24,625",성인가요/트로트
181,나보다 더 사랑해요,"서로 다른 길에
우리 둘의 만남은
돌아보니 꿈만 같아요
같은 시간 속에 우리는
서로의 삶에
멈춰버렸죠
바다처럼 깊어진
우리의 믿음
흔들리지 않아요
그댈 나보다 더 나보다 더
사랑해요
저기 별빛이 내리는 아래
고백할게요
그댈 나보다 더 나보다 더
사랑해요 그대
마음 받아주세요
맘이 힘든 날엔
말을 하지 않아도
언제나 내 편인 한사람
자신보다 나를 위해준
그 사람에게
난 부족한 사람
바다처럼 깊어진
우리의 믿음
흔들리지 않아요
그댈 나보다 더 나보다 더
사랑해요
저기 별빛이 내리는 아래
고백할게요
그댈 나보다 더 나보다 더
사랑해요 그대
마음 받아주세요
볕이 안 드는 고된 삶의 틈에도
손 내밀어 주세요 워
우린 별이 되어 달이 되어
세상이 끝나도
함께할 사랑 함께할 운명
그댈 사랑합니다",김호중,2020.04.28,"46,882",성인가요/트로트
182,트로트가 나는 좋아요,"쿵짝 쿵짝 리듬에 맞춰
야야 야야 노래를 해요
춤추는 세상 신나는 세상
마음껏 즐겨 보아요
삑삑 삑삑 꾀꼬리 되어
야야 야야 따라해 봐요
즐거운 세상 행복한 세상
십년은 젊어 진대요
모이자 트로트 전국팔도 모두 모이자
부르자 트로트 남녀노소 모두 부르자
즐기자 트로트 안방1열 국민 트로트
모이자 부르자 트로트가 나는 좋아요
뽕짝 뽕짝 리듬에 맞춰
룰루 랄라 노래를 해요
당신이 좋아 기분이 좋아
인생은 정말 즐거워
삑삑 삑삑 꾀꼬리 되어
룰루 랄라 따라해 봐요
즐거운 세상 행복한 세상
십년은 젊어 진대요
모이자 트로트 전국팔도 모두 모이자
부르자 트로트 남녀노소 모두 부르자
즐기자 트로트 안방1열 국민 트로트
모이자 부르자 트로트가 나는 좋아요
근심걱정 하지마요 콧노래를 불러요
노래하고 춤을춰요 브라보 화이팅
세상이 아름다워요
모이자 트로트 전국팔도 모두 모이자
부르자 트로트 남녀노소 모두 부르자
즐기자 트로트 안방1열 국민 트로트
모이자 부르자
트로트가 나는 좋아요
트로트가 나는 좋아요
노래하며 춤을 춥시다",송가인,2020.12.26,"8,641",성인가요/트로트
183,해변의 여인,"물 위에 떠있는 황혼의 종이배
말없이 바라보는 해변의 여인아
바람에 휘날리는 머리카락 사이로
황혼빛에 물드는 여인의 눈동자
조용히 들려오는 조개들의 옛이야기
말없이 거니는 해변의 여인아
바람에 휘날리는 머리카락 사이로
황혼빛에 물드는 여인의 눈동자
조용히 들려오는 조개들의 옛이야기
말없이 거니는 해변의 여인아
바람에 휘날리는 머리카락 사이로
황혼빛에 물드는 여인의 눈동자
조용히 들려오는 조개들의 옛이야기
말없이 거니는 해변의 여인아
해변의 여인아",신성,2023.01.18,313,성인가요/트로트
184,우연히,"나이트 클럽에서 우연히 만났네
첫사랑 그 남자를
추억에 흠뻑 젖어 함께 춤을 추었네
철없던 세월이 그리워
행복하냐 물었지 아무런 말도 없이
눈물만 뚝뚝뚝 흘리는 그 사람
난 벌써 용서 했다고
난 벌써 잊어 버렸다고
말을 해놓고 안아주었지
정말 정말 행복해야 된다고
오늘밤 우연히 우연히 만났네
첫사랑 그 남자를
나이트 클럽에서 함께 춤을 추었네
철없던 세월이 그리워
행복하냐 물었지 아무런 말도 없이
눈물만 뚝뚝뚝 흘리는 그 사람
난 벌써 용서 했다고
난 벌써 잊어 버렸다고
말을 해놓고 안아주었지
정말 정말 행복해야 된다고
정말 정말 행복해야 된다고",우연이,2005.04.01,"4,505",성인가요/트로트
185,정녕,"당신은 나에게
할 말이 없나요
아직도 나는
할 말이 많은데
당신에 눈에
한 방울 눈물이
이별에 진실인가요
사랑은 정녕
무엇인가요
가슴 하나 태우면
그만 인가요
이별은 정녕
무엇인가요
또 다른 만남의
시작인가요
돌아서는 그대
마지막 눈물에
나는 바람 되어 웁니다
당신에 진실은
무엇인가요
나에겐 오직
당신뿐인데
우리가 나눈
사랑에 기쁨이
이별을 막을 수는 없었나요
사랑은 정녕
무엇인가요
가슴 하나 태우면
그만 인가요
이별은 정녕
무엇인가요
또 다른 만남의
시작인가요
돌아서는 그대
마지막 눈물에
나는 바람 되어 웁니다
돌아서는 그대
마지막 눈물에
나는 바람 되어 웁니다",신성,2022.12.28,361,성인가요/트로트
186,쌍쌍,"저 남자 저 여자는 쌍쌍
죽어도 행복해요 쌍쌍
당신도 쌍쌍
당신도 쌍쌍
쌍쌍연인들이야
그 남자 그 여자도 쌍쌍
아무도 모를거야 쌍쌍
당신도 쌍쌍
당신도 쌍쌍
쌍쌍연인들이야
사랑해 사랑해
정말정말 그대 정말 사랑해
아침먹고 점심먹고 저녁먹고 사랑먹고
밤새도록 사랑해
사랑해 사랑해
정말정말 그대 정말 사랑해
아침먹고 점심먹고 저녁먹고 사랑먹고
밤새도록 사랑해
뜨거운 사랑이여 쌍쌍
불타는 사랑이여 쌍쌍
당신은 당신은
찰찰찰 철거머리야",최수호,2023.02.17,94,성인가요/트로트
187,너 떠난후에,"좋아한다고 말할걸 그랬어
사랑한다고 말할걸 그랬어
말 못한걸 난 후회해
너 떠난 후에
가지 말라고 말할걸 그랬어
기다리라고 말할걸 그랬어
이제 와서 난 후회해
너 떠난 후에
오늘처럼 바람 부는 날에는
널 찾아가 울고 싶어
바람에 밀려왔다고 우겨 볼까
너 없는 세상 살 수가 없다고
혼자 남는 게 난 싫어
내게 돌아와 줘
가지 말라고 말할걸 그랬어
기다리라고 말할걸 그랬어
이제 와서 난 후회해
너 떠난 후에
오늘처럼 비가 오는 날에는
널 찾아가 울고 싶어
내리는 비가 무섭다 말해볼까
너 없는 세상 살 수가 없다고
혼자 남는 게 난 싫어
내게 돌아와 줘
우 우 돌아와 줘",장윤정,2019.03.12,"5,299",성인가요/트로트
188,망부석,"간밤에 울던 제비
날이 밝아 찾아보니
처마 끝엔 빈 둥지만이
구구 만리 머나먼 길
다시 오마 찾아 가나
저 하늘에 가물거리네
에헤야 날아라
헤이야 꿈이여
그리운 내 님 계신 곳에
푸른 하늘의 구름도
둥실 둥실 떠가네
높고 높은 저 산 너머로
내 꿈마저 떠가라 두리둥실 떠가라
오매불망 내 님에게로
깊은 밤 잠 못이뤄
창문 열고 밖을 보니
초생달만 외로이 떴네
멀리 떠난 내 님 소식
그 언제나 오시려나
가슴 조여 기다려지네
에헤야 날아라
헤이야 꿈이여
그리운 내 님 계신 곳에
달 아래 구름도 둥실둥실 떠가네
높고 높은 저 산 너머로
내 꿈마저 떠가라 두리둥실 떠가라
오매불망 내 님에게로
내 꿈마저 떠가라 두리둥실 떠가라
오매불망 내 님에게로
오매불망 내 님에게로",송도현,2023.01.27,231,성인가요/트로트
189,사랑 참,"잡힐 듯 잡히지 않는
사랑이 너무 아쉬워
다가가면 더 멀어지는
사랑 참 힘드네요
참을 만해요 괜찮아요
힘들면 좀 어때요
사랑을 잃은 아픔보다
참는 게 더 쉬워요
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
참을 만해요 괜찮아요
힘들면 좀 어때요
사랑을 잃은 아픔보다
참는 게 더 쉬워요
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
들리나요 사랑아
내 슬픈 사랑아
보이나요 사랑아
내 아픈 사랑아
사랑 참 힘드네요",홍자,2019.04.19,"11,852",성인가요/트로트
190,여자의 일생,"참을 수가 없도록
이 가슴이 아파도
여자이기 때문에
말 한마디 못하고
헤아릴 수 없는 설움 혼자 지닌 채
고달픈 인생길을 허덕이면서
아 참아야 한다기에
눈물로 보냅니다
여자의 일생
견딜 수가 없도록
외로워도 슬퍼도
여자이기 때문에
참아야만 한다고
내 스스로 내 마음을 달래어 가며
비탈진 인생길을 허덕이면서
아 참아야 한다기에
눈물로 보냅니다
여자의 일생
아 참아야 한다기에
눈물로 보냅니다
여자의 일생",안성훈,2023.02.17,105,성인가요/트로트
